OrderID,OrderDate,DeliveryDate,CustomerName,ProductCategory,ProductName,Quantity,UnitPrice,PaymentMethod,OrderStatus,City,State,Region,TotalAmount
10070,2024-02-23,2024-01-09,Karan Malhotra,Clothing,Novel,3,14993,Debit Card,Cancelled,Pune,Tamil Nadu,North,44979
10071,2024-05-25,2024-01-05,Rohit Verma,Home Appliances,Face Cream,5,27541,Credit Card,Returned,Chennai,Maharashtra,East,137705
10072,2024-02-13,2024-01-08,Amit Sharma,Home Appliances,Headphones,5,15840,UPI,Returned,Chennai,Tamil Nadu,East,79200
10073,2024-06-10,2024-01-10,Rohit Verma,Electronics,Laptop,5,72555,Net Banking,Delivered,Bengaluru,Karnataka,North,362775
10074,2024-01-14,2024-01-11,Amit Sharma,Beauty,Headphones,2,65057,Cash on Delivery,In Transit,Mumbai,Maharashtra,West,130114
10075,2024-04-04,2024-01-07,Amit Sharma,Books,Mobile,3,41503,UPI,Cancelled,Bengaluru,Delhi,North,124509
10076,2024-02-17,2024-01-08,Priya Nair,Clothing,Mobile,1,25381,Cash on Delivery,In Transit,Mumbai,Tamil Nadu,West,25381
10077,2024-01-15,2024-01-09,Amit Sharma,Books,Mixer,4,62161,Credit Card,Cancelled,Pune,Tamil Nadu,South,248644
10078,2024-02-09,2024-01-10,Pooja Singh,Books,Face Cream,5,11650,Credit Card,Delivered,Chennai,Maharashtra,East,58250
10079,2024-03-22,2024-01-05,Suresh Iyer,Beauty,Mobile,5,55812,UPI,Returned,Chennai,Telangana,East,279060
10080,2024-04-20,2024-01-05,Sneha Kulkarni,Books,Headphones,3,57109,Cash on Delivery,Delivered,Pune,Tamil Nadu,West,171327
10081,2024-02-22,2024-01-09,Anjali Deshmukh,Books,Shirt,3,43132,Credit Card,Returned,Bengaluru,Karnataka,North,129396
10082,2024-01-24,2024-01-09,Rohit Verma,Home Appliances,Shirt,2,28669,Net Banking,In Transit,Bengaluru,Tamil Nadu,East,57338
10083,2024-06-02,2024-01-07,Sneha Kulkarni,Beauty,Mixer,2,32028,Debit Card,In Transit,Delhi,Delhi,West,64056
10084,2024-05-03,2024-01-11,Anjali Deshmukh,Electronics,Novel,5,17876,Debit Card,Delivered,Mumbai,Tamil Nadu,South,89380
10085,2024-02-10,2024-01-05,Suresh Iyer,Clothing,Headphones,3,29301,Credit Card,Returned,Bengaluru,Telangana,South,87903
10086,2024-06-05,2024-01-10,Suresh Iyer,Books,Headphones,1,690,Cash on Delivery,Delivered,Pune,Tamil Nadu,East,690
10087,2024-01-15,2024-01-08,Rohit Verma,Clothing,Mobile,4,45736,Credit Card,Returned,Bengaluru,Maharashtra,North,182944
10088,2024-02-14,2024-01-10,Rohit Verma,Electronics,Face Cream,3,11869,Cash on Delivery,Returned,Chennai,Tamil Nadu,West,35607
10089,2024-03-05,2024-01-06,Suresh Iyer,Clothing,Headphones,3,13329,Net Banking,In Transit,Mumbai,Telangana,East,39987
10090,2024-03-29,2024-01-06,Anjali Deshmukh,Electronics,Laptop,2,22790,Cash on Delivery,In Transit,Hyderabad,Maharashtra,South,45580
10091,2024-03-11,2024-01-09,Amit Sharma,Home Appliances,Novel,4,46175,Credit Card,Returned,Delhi,Karnataka,North,184700
10092,2024-01-09,2024-01-07,Karan Malhotra,Books,Mobile,5,6167,Net Banking,Returned,Mumbai,Maharashtra,West,30835
10093,2024-03-28,2024-01-06,Neha Patil,Electronics,Laptop,3,9421,UPI,Returned,Chennai,Delhi,East,28263
10094,2024-05-08,2024-01-05,Sneha Kulkarni,Clothing,Mixer,5,1839,Debit Card,In Transit,Chennai,Maharashtra,West,9195
10095,2024-05-15,2024-01-10,Priya Nair,Books,Shirt,3,17327,Credit Card,In Transit,Chennai,Karnataka,North,51981
10096,2024-03-03,2024-01-10,Sneha Kulkarni,Home Appliances,Mixer,5,74529,Credit Card,Cancelled,Chennai,Tamil Nadu,North,372645
10097,2024-05-18,2024-01-09,Priya Nair,Books,Shirt,4,9221,Credit Card,Returned,Pune,Maharashtra,South,36884
10098,2024-03-21,2024-01-11,Anjali Deshmukh,Electronics,Mixer,2,50735,Net Banking,Cancelled,Delhi,Maharashtra,North,101470
10099,2024-05-15,2024-01-11,Priya Nair,Home Appliances,Headphones,4,10610,UPI,Returned,Hyderabad,Maharashtra,East,42440
10100,2024-06-11,2024-01-08,Rohit Verma,Clothing,Laptop,1,64265,Cash on Delivery,In Transit,Chennai,Maharashtra,West,64265
10101,2024-06-11,2024-01-09,Karan Malhotra,Home Appliances,Shirt,2,70222,UPI,Cancelled,Chennai,Karnataka,North,140444
10102,2024-02-02,2024-01-12,Karan Malhotra,Home Appliances,Mobile,4,12542,Net Banking,Cancelled,Bengaluru,Telangana,North,50168
10103,2024-05-02,2024-01-08,Rohit Verma,Beauty,Laptop,1,9247,Credit Card,Delivered,Delhi,Telangana,East,9247
10104,2024-01-05,2024-01-12,Pooja Singh,Home Appliances,Mobile,3,71766,Debit Card,Returned,Mumbai,Maharashtra,West,215298
10105,2024-02-10,2024-01-11,Anjali Deshmukh,Home Appliances,Laptop,3,62116,Credit Card,In Transit,Delhi,Karnataka,West,186348
10106,2024-01-28,2024-01-09,Pooja Singh,Books,Laptop,5,49085,Cash on Delivery,Delivered,Delhi,Karnataka,South,245425
10107,2024-05-14,2024-01-12,Pooja Singh,Clothing,Mixer,2,807,Debit Card,Delivered,Hyderabad,Maharashtra,South,1614
10108,2024-03-12,2024-01-09,Sneha Kulkarni,Books,Shirt,3,67272,Credit Card,Returned,Delhi,Delhi,West,201816
10109,2024-01-12,2024-01-09,Suresh Iyer,Books,Shirt,2,27451,Debit Card,Delivered,Hyderabad,Maharashtra,East,54902
10110,2024-06-10,2024-01-11,Sneha Kulkarni,Electronics,Face Cream,3,11918,UPI,Returned,Chennai,Delhi,East,35754
10111,2024-02-02,2024-01-08,Suresh Iyer,Books,Laptop,5,74586,Net Banking,Delivered,Chennai,Maharashtra,South,372930
10112,2024-02-17,2024-01-08,Neha Patil,Beauty,Headphones,4,16422,Credit Card,Returned,Pune,Delhi,North,65688
10113,2024-05-30,2024-01-09,Priya Nair,Beauty,Headphones,5,7654,Cash on Delivery,In Transit,Hyderabad,Delhi,East,38270
10114,2024-03-02,2024-01-06,Suresh Iyer,Electronics,Mobile,1,31279,UPI,Returned,Hyderabad,Maharashtra,North,31279
10115,2024-02-06,2024-01-07,Rohit Verma,Clothing,Mobile,3,79676,Credit Card,Returned,Mumbai,Delhi,East,239028
10116,2024-04-08,2024-01-11,Sneha Kulkarni,Clothing,Mixer,1,53074,UPI,Cancelled,Bengaluru,Tamil Nadu,West,53074
10117,2024-06-20,2024-01-07,Anjali Deshmukh,Books,Laptop,1,5337,Cash on Delivery,In Transit,Delhi,Telangana,South,5337
10118,2024-04-13,2024-01-07,Priya Nair,Books,Mobile,2,28933,Credit Card,In Transit,Mumbai,Karnataka,North,57866
10119,2024-02-04,2024-01-08,Neha Patil,Books,Mobile,3,24795,Cash on Delivery,In Transit,Hyderabad,Delhi,North,74385
10120,2024-04-10,2024-01-08,Suresh Iyer,Clothing,Novel,1,64850,Debit Card,Delivered,Mumbai,Delhi,West,64850
10121,2024-06-23,2024-01-06,Neha Patil,Home Appliances,Laptop,4,36783,Cash on Delivery,Cancelled,Pune,Karnataka,East,147132
10122,2024-05-10,2024-01-07,Anjali Deshmukh,Beauty,Mixer,1,73673,Debit Card,In Transit,Bengaluru,Delhi,North,73673
10123,2024-01-01,2024-01-07,Pooja Singh,Home Appliances,Mobile,4,34369,Credit Card,Delivered,Hyderabad,Karnataka,East,137476
10124,2024-01-05,2024-01-09,Karan Malhotra,Home Appliances,Mixer,2,7670,Debit Card,Delivered,Hyderabad,Maharashtra,West,15340
10125,2024-05-21,2024-01-08,Anjali Deshmukh,Clothing,Shirt,1,72247,Credit Card,Delivered,Delhi,Tamil Nadu,South,72247
10126,2024-04-12,2024-01-07,Rahul Mehta,Home Appliances,Mixer,5,39433,Credit Card,Cancelled,Bengaluru,Tamil Nadu,North,197165
10127,2024-01-27,2024-01-10,Anjali Deshmukh,Electronics,Headphones,2,992,Net Banking,Delivered,Pune,Telangana,East,1984
10128,2024-05-16,2024-01-06,Neha Patil,Books,Headphones,4,29226,Credit Card,Cancelled,Chennai,Delhi,North,116904
10129,2024-01-15,2024-01-12,Rohit Verma,Electronics,Mixer,2,74284,Debit Card,Returned,Mumbai,Telangana,East,148568
10130,2024-03-30,2024-01-10,Sneha Kulkarni,Beauty,Headphones,1,43690,Net Banking,Delivered,Delhi,Maharashtra,East,43690
10131,2024-02-11,2024-01-10,Rohit Verma,Books,Shirt,3,49893,Net Banking,In Transit,Hyderabad,Tamil Nadu,East,149679
10132,2024-05-03,2024-01-12,Neha Patil,Home Appliances,Laptop,3,75909,Credit Card,Delivered,Chennai,Maharashtra,West,227727
10133,2024-06-27,2024-01-11,Sneha Kulkarni,Beauty,Headphones,4,5509,Cash on Delivery,Returned,Pune,Maharashtra,South,22036
10134,2024-03-03,2024-01-11,Rahul Mehta,Books,Headphones,4,6833,Cash on Delivery,Returned,Bengaluru,Delhi,North,27332
10135,2024-04-05,2024-01-06,Karan Malhotra,Home Appliances,Mixer,3,7511,Net Banking,Delivered,Mumbai,Maharashtra,South,22533
10136,2024-02-21,2024-01-10,Priya Nair,Electronics,Shirt,4,10227,Credit Card,Returned,Delhi,Tamil Nadu,East,40908
10137,2024-04-05,2024-01-07,Neha Patil,Books,Face Cream,2,77763,Cash on Delivery,Cancelled,Hyderabad,Telangana,East,155526
10138,2024-05-11,2024-01-08,Suresh Iyer,Home Appliances,Face Cream,5,24894,Credit Card,Cancelled,Hyderabad,Tamil Nadu,South,124470
10139,2024-05-30,2024-01-06,Neha Patil,Electronics,Face Cream,5,75152,Credit Card,Delivered,Chennai,Delhi,South,375760
10140,2024-05-22,2024-01-09,Neha Patil,Beauty,Face Cream,2,78013,Net Banking,Cancelled,Chennai,Tamil Nadu,North,156026
10141,2024-06-19,2024-01-12,Sneha Kulkarni,Beauty,Laptop,5,76682,Net Banking,Cancelled,Mumbai,Karnataka,East,383410
10142,2024-01-29,2024-01-10,Amit Sharma,Beauty,Mixer,1,8233,UPI,In Transit,Bengaluru,Telangana,South,8233
10143,2024-02-05,2024-01-06,Anjali Deshmukh,Beauty,Mixer,2,40996,Cash on Delivery,Delivered,Pune,Karnataka,West,81992
10144,2024-01-13,2024-01-05,Amit Sharma,Clothing,Novel,4,65749,Cash on Delivery,Returned,Bengaluru,Karnataka,East,262996
10145,2024-06-08,2024-01-05,Rahul Mehta,Books,Shirt,2,67916,Cash on Delivery,Delivered,Bengaluru,Delhi,East,135832
10146,2024-03-11,2024-01-11,Suresh Iyer,Books,Face Cream,3,6389,Debit Card,Cancelled,Bengaluru,Maharashtra,North,19167
10147,2024-03-26,2024-01-12,Karan Malhotra,Clothing,Laptop,4,56848,Credit Card,In Transit,Mumbai,Karnataka,West,227392
10148,2024-01-28,2024-01-08,Pooja Singh,Home Appliances,Shirt,3,26423,Net Banking,Delivered,Mumbai,Tamil Nadu,North,79269
10149,2024-03-06,2024-01-07,Rahul Mehta,Home Appliances,Face Cream,4,8097,Cash on Delivery,Delivered,Pune,Maharashtra,West,32388
10150,2024-06-18,2024-01-08,Pooja Singh,Beauty,Laptop,5,50313,UPI,Cancelled,Bengaluru,Tamil Nadu,North,251565
10151,2024-02-14,2024-01-08,Pooja Singh,Electronics,Shirt,2,8646,Cash on Delivery,Cancelled,Mumbai,Tamil Nadu,West,17292
10152,2024-03-02,2024-01-08,Karan Malhotra,Home Appliances,Mixer,1,33972,Credit Card,Delivered,Pune,Maharashtra,West,33972
10153,2024-05-13,2024-01-12,Rohit Verma,Electronics,Mixer,4,17953,Credit Card,Cancelled,Hyderabad,Maharashtra,West,71812
10154,2024-01-28,2024-01-08,Amit Sharma,Books,Mobile,4,49856,Net Banking,Cancelled,Pune,Tamil Nadu,South,199424
10155,2024-01-28,2024-01-09,Neha Patil,Electronics,Headphones,3,26440,Debit Card,Cancelled,Bengaluru,Delhi,East,79320
10156,2024-04-17,2024-01-12,Priya Nair,Books,Face Cream,5,1484,Net Banking,Cancelled,Delhi,Telangana,West,7420
10157,2024-02-13,2024-01-09,Pooja Singh,Clothing,Novel,3,34793,Cash on Delivery,Cancelled,Bengaluru,Telangana,South,104379
10158,2024-03-24,2024-01-12,Suresh Iyer,Clothing,Shirt,3,44448,UPI,In Transit,Delhi,Delhi,South,133344
10159,2024-01-30,2024-01-11,Rahul Mehta,Beauty,Novel,5,25146,Net Banking,Cancelled,Pune,Maharashtra,North,125730
10160,2024-03-15,2024-01-06,Rohit Verma,Home Appliances,Mobile,1,22495,Debit Card,Returned,Hyderabad,Tamil Nadu,East,22495
10161,2024-05-07,2024-01-05,Pooja Singh,Beauty,Headphones,3,5906,Net Banking,Delivered,Hyderabad,Telangana,East,17718
10162,2024-04-01,2024-01-08,Rohit Verma,Books,Shirt,3,4256,Credit Card,In Transit,Mumbai,Tamil Nadu,North,12768
10163,2024-05-08,2024-01-11,Rohit Verma,Beauty,Laptop,4,16855,Cash on Delivery,In Transit,Hyderabad,Delhi,East,67420
10164,2024-04-30,2024-01-06,Pooja Singh,Electronics,Face Cream,5,18990,Cash on Delivery,Cancelled,Chennai,Tamil Nadu,North,94950
10165,2024-01-27,2024-01-05,Sneha Kulkarni,Books,Headphones,2,58802,Cash on Delivery,Delivered,Pune,Delhi,South,117604
10166,2024-04-30,2024-01-10,Anjali Deshmukh,Clothing,Mixer,1,49149,Cash on Delivery,Returned,Mumbai,Maharashtra,South,49149
10167,2024-04-25,2024-01-07,Suresh Iyer,Home Appliances,Mobile,1,26647,Cash on Delivery,Cancelled,Hyderabad,Delhi,West,26647
10168,2024-01-03,2024-01-09,Neha Patil,Books,Headphones,5,49356,Cash on Delivery,Delivered,Pune,Delhi,North,246780
10169,2024-04-12,2024-01-10,Neha Patil,Books,Face Cream,4,64151,UPI,Cancelled,Bengaluru,Telangana,South,256604
10170,2024-06-03,2024-01-12,Suresh Iyer,Electronics,Headphones,4,70511,Debit Card,Cancelled,Hyderabad,Tamil Nadu,South,282044
10171,2024-05-16,2024-01-05,Sneha Kulkarni,Home Appliances,Face Cream,5,42150,Cash on Delivery,Cancelled,Delhi,Telangana,North,210750
10172,2024-03-02,2024-01-10,Neha Patil,Clothing,Mixer,4,78845,Debit Card,Cancelled,Pune,Karnataka,South,315380
10173,2024-06-13,2024-01-07,Rohit Verma,Books,Shirt,1,28143,Cash on Delivery,Cancelled,Mumbai,Delhi,East,28143
10174,2024-02-20,2024-01-11,Karan Malhotra,Books,Laptop,1,62620,Net Banking,Cancelled,Bengaluru,Karnataka,South,62620
10175,2024-06-20,2024-01-05,Rahul Mehta,Electronics,Mixer,2,30093,Cash on Delivery,Cancelled,Chennai,Telangana,North,60186
10176,2024-05-31,2024-01-10,Amit Sharma,Beauty,Laptop,5,39816,Credit Card,Returned,Bengaluru,Tamil Nadu,East,199080
10177,2024-02-28,2024-01-09,Neha Patil,Clothing,Shirt,3,18157,UPI,In Transit,Hyderabad,Telangana,East,54471
10178,2024-04-27,2024-01-09,Suresh Iyer,Home Appliances,Headphones,3,19927,Net Banking,Returned,Delhi,Tamil Nadu,South,59781
10179,2024-06-08,2024-01-06,Karan Malhotra,Books,Laptop,2,62122,Net Banking,Cancelled,Bengaluru,Tamil Nadu,West,124244
10180,2024-04-05,2024-01-10,Pooja Singh,Books,Mobile,2,52548,Credit Card,Cancelled,Chennai,Maharashtra,East,105096
10181,2024-06-28,2024-01-08,Anjali Deshmukh,Clothing,Mobile,4,56098,Cash on Delivery,Returned,Mumbai,Delhi,North,224392
10182,2024-04-22,2024-01-10,Suresh Iyer,Beauty,Face Cream,2,44416,UPI,Returned,Pune,Telangana,West,88832
10183,2024-03-02,2024-01-11,Rohit Verma,Books,Mixer,2,75618,Net Banking,In Transit,Delhi,Tamil Nadu,West,151236
10184,2024-02-21,2024-01-05,Anjali Deshmukh,Clothing,Shirt,3,28857,UPI,Returned,Chennai,Telangana,East,86571
10185,2024-01-12,2024-01-05,Rahul Mehta,Electronics,Face Cream,4,71634,Net Banking,In Transit,Hyderabad,Telangana,South,286536
10186,2024-02-08,2024-01-11,Rahul Mehta,Beauty,Mixer,2,75463,Cash on Delivery,Cancelled,Hyderabad,Tamil Nadu,West,150926
10187,2024-05-09,2024-01-10,Sneha Kulkarni,Home Appliances,Mixer,2,78302,Net Banking,Delivered,Hyderabad,Karnataka,South,156604
10188,2024-05-10,2024-01-11,Priya Nair,Books,Face Cream,4,42914,Net Banking,Delivered,Delhi,Delhi,East,171656
10189,2024-04-22,2024-01-07,Sneha Kulkarni,Clothing,Novel,5,13020,Debit Card,Delivered,Bengaluru,Delhi,North,65100
10190,2024-04-10,2024-01-12,Karan Malhotra,Electronics,Mixer,4,57908,Cash on Delivery,Delivered,Delhi,Maharashtra,West,231632
10191,2024-04-22,2024-01-11,Anjali Deshmukh,Home Appliances,Novel,3,72395,Credit Card,Cancelled,Hyderabad,Maharashtra,North,217185
10192,2024-03-21,2024-01-09,Priya Nair,Clothing,Mobile,5,36192,Credit Card,Delivered,Chennai,Maharashtra,South,180960
10193,2024-04-22,2024-01-11,Pooja Singh,Clothing,Mobile,1,77542,Cash on Delivery,Returned,Pune,Delhi,South,77542
10194,2024-01-02,2024-01-05,Rohit Verma,Home Appliances,Mixer,4,77906,Credit Card,Returned,Pune,Karnataka,North,311624
10195,2024-05-09,2024-01-09,Anjali Deshmukh,Electronics,Mobile,3,1224,Cash on Delivery,Delivered,Delhi,Delhi,East,3672
10196,2024-02-23,2024-01-05,Sneha Kulkarni,Electronics,Shirt,5,51622,Credit Card,Returned,Hyderabad,Delhi,East,258110
10197,2024-03-27,2024-01-06,Amit Sharma,Beauty,Novel,4,26778,Debit Card,In Transit,Mumbai,Delhi,West,107112
10198,2024-05-08,2024-01-08,Priya Nair,Books,Novel,2,71342,Credit Card,Cancelled,Delhi,Delhi,West,142684
10199,2024-05-26,2024-01-05,Priya Nair,Home Appliances,Mixer,4,46718,Net Banking,Delivered,Hyderabad,Karnataka,East,186872
